,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[103],1.5814252599045138,0.21297660119742792,1.2591016182029824,1.940339754367207,7046.401088273894,6153.489812146166,1.0000465626662738,0.0025567664534345566,0.002429418539453516
bhmm::e_mu_obs[104],1.5274328813154188,0.20892958528581154,1.2125756931761829,1.8797064883946513,7062.531388730934,6098.836606093374,1.0000468286893962,0.002505813230941695,0.0023944539197249147
bhmm::e_mu_obs[105],1.4746458742028694,0.20480583950840361,1.1669054605978435,1.8221028262591308,7079.237069923475,6262.988510560017,1.0000593827109658,0.002454117048256063,0.0023587142917811817
bhmm::e_mu_obs[106],1.4230905525977413,0.20061632038609628,1.1221228484459826,1.7646200388283213,7098.285993552587,6268.650403909596,1.0000779734703444,0.0024018064766139434,0.0023222099642676917
bhmm::e_mu_obs[107],1.3727876634272878,0.19637188316956025,1.0790535032326427,1.7079660415280193,7107.612305987918,6103.372056082033,1.000058664889679,0.002349007602975119,0.0022849637250651235
bhmm::e_mu_obs[108],1.3237527572560417,0.19208318996159404,1.0367653599290216,1.6524769629397884,7115.924546128324,6097.313967595569,1.0000626374253,0.0022958431769795726,0.0022470092979894416
bhmm::e_mu_obs[109],1.275996562491865,0.18776063085806396,0.9957513668809063,1.5988380705656404,7067.888041613812,6115.564572115131,1.0000518169183807,0.0022424318820564856,0.0022083897017405488
bhmm::e_mu_obs[110],1.2295253467637755,0.1834142600907926,0.9560932830449713,1.5434176625048472,7076.490003072942,6067.967647571324,1.0000409046108052,0.002188887761214634,0.002169155592742593
bhmm::e_mu_obs[111],1.1843412667537359,0.17905374086117323,0.9178598577859863,1.4907272570962744,7083.339216721884,6243.685892614369,1.0000412636353608,0.0021353197234132617,0.0021293639080735317
bhmm::e_mu_obs[112],1.1404427121005773,0.1746883030551415,0.8804321684176578,1.4391256800842087,7089.786795328159,6182.903697670427,1.0000408750014125,0.002081831177784082,0.002089076487944198
